group_ko	group_en	group	path	name_ko	name_en	stat_code	item_code1	item_code2	item_code3	cycle
시장금리	Market Yields	rate	rate.base	한국은행 기준금리	Bank of Korea Base Rate	722Y001	0101000			D
시장금리	Market Yields	rate	rate.call	콜금리(익일물)	Call Rate (Overnight)	817Y002	010101000			D
시장금리	Market Yields	rate	rate.koribor_3m	KORIBOR(3개월)	KORIBOR(3 month)	817Y002	010150000			D
시장금리	Market Yields	rate	rate.cd_91d	CD수익률(91일)	CD(91 day)	817Y002	010502000			D
시장금리	Market Yields	rate	rate.msb_364d	통안증권수익률(364일)	Monetary Stabilization Bonds(364 day)	817Y002	010400001			D
시장금리	Market Yields	rate	rate.treasury_3y	국고채수익률(3년)	Treasury Bonds(3 year)	817Y002	010200000			D
시장금리	Market Yields	rate	rate.treasury_5y	국고채수익률(5년)	Treasury Bonds(5 year)	817Y002	010200001			D
시장금리	Market Yields	rate	rate.corporate_bond_3y	회사채수익률(3년,AA-)	Corporate Bonds(3 year, AA-)	817Y002	010300000			D
여수신금리	Interest Rates	rate	rate.deposit	예금은행 수신금리	Interest Rate on Time & Savings Deposits of CBs & SBs	121Y002	BEABAA2			M
여수신금리	Interest Rates	rate	rate.loan	예금은행 대출금리	Interest Rate on Loans & Discounts of CBs & SBs	121Y006	BECBLA01			M
예금/대출금	Deposits and Loans	credit	credit.total_deposits	예금은행총예금(말잔)	Total Deposits of CBs & SBs(Avg.)	104Y013	BCB1			M
예금/대출금	Deposits and Loans	credit	credit.total_loans	예금은행대출금(말잔)	Loans of CBs & SBs(Avg.)	104Y016	BDCA1			M
예금/대출금	Deposits and Loans	credit	credit.household_credit	가계신용	Credit to Households	151Y001	1000000			Q
예금/대출금	Deposits and Loans	credit	credit.household_delinquency_rate	가계대출연체율	Household Loans Delinquency Rate	141Y005	R5AB00			M
통화량	Money Supply	money	money.m1	M1(협의통화, 평잔)	M1(Narrow Money, Avg.)	161Y002	BBLA00			M
통화량	Money Supply	money	money.m2	M2(광의통화, 평잔)	M2(Broad Money, Avg.)	161Y006	BBHA00			M
통화량	Money Supply	money	money.lf	Lf(평잔)	Lf(Avg.)	171Y004	LA00000			M
통화량	Money Supply	money	money.l	L(말잔)	L(End of)	172Y002	X000000			M
환율	Exchange Rates	fx	fx.usd	원/달러 환율(종가)	KRW/USD(Closing Rate)	731Y003	0000013			D
환율	Exchange Rates	fx	fx.jpy	원/엔(100엔) 환율(매매기준율)	KRW/JPY(100 Yen)	731Y001	0000002			D
환율	Exchange Rates	fx	fx.eur	원/유로 환율(매매기준율)	KRW/EURO	731Y001	0000003			D
환율	Exchange Rates	fx	fx.cny	원/위안 환율(종가)	KRW/CNY(Closing Rate)	731Y003	0000010			D
주식	Stocks	stock	stock.kospi.index	코스피지수	KOSPI	802Y001	0001000			D
주식	Stocks	stock	stock.kosdaq.index	코스닥지수	KOSDAQ Index	802Y001	0089000			D
주식	Stocks	stock	stock.kosdaq.trading_value	주식거래대금(KOSDAQ)	KOSDAQ's Trading Value	901Y014	2060000			M
주식	Stocks	stock	stock.kospi.trading_value	주식거래대금(KOSPI)	KOSPI’s Trading Value	901Y014	1060000			M
주식	Stocks	stock	stock.kospi.market_cap	코스피 시가총액	KOSPI Market Capitalization	901Y014	1040000			M
주식	Stocks	stock	stock.kospi.volume	코스피 거래량	KOSPI Trading Volume	901Y014	1050000			M
주식	Stocks	stock	stock.kospi.turnover	코스피 회전율	KOSPI Turnover Ratio	901Y014	1090000			M
주식	Stocks	stock	stock.kospi.dividend_yield	코스피 배당수익률	KOSPI Dividend Yield	901Y014	1100000			M
주식	Stocks	stock	stock.kospi.per	코스피 PER	KOSPI PER	901Y014	1110000			M
주식	Stocks	stock	stock.kosdaq.market_cap	코스닥 시가총액	KOSDAQ Market Capitalization	901Y014	2040000			M
주식	Stocks	stock	stock.kosdaq.volume	코스닥 거래량	KOSDAQ Trading Volume	901Y014	2050000			M
주식	Stocks	stock	stock.kosdaq.turnover	코스닥 회전율	KOSDAQ Turnover Ratio	901Y014	2110000			M
주식	Stocks	stock	stock.investor_deposits	투자자예탁금	Investor Deposits	901Y056	S23A			M
채권	Bonds	bond	bond.trading_value	채권거래대금	Bonds Trading Value	901Y015	1			M
채권	Bonds	bond	bond.treasury_issuance	국고채발행액	Issued Amount of Treasury Bonds	191Y001	0200000	3		M
성장률	Growth Rates	growth	growth.gdp_growth	경제성장률(실질, 계절조정 전기대비)	GDP Growth Rate(S.A.)	200Y123	1117			Q
성장률	Growth Rates	growth	growth.private_consumption_growth	민간소비증감률(실질, 계절조정 전기대비)	Private Consumption(S.A., % Change)	200Y102	10122			Q
성장률	Growth Rates	growth	growth.facilities_investment_growth	설비투자증감률(실질, 계절조정 전기대비)	Facilities Investment(S.A.,% Change)	200Y102	10123			Q
성장률	Growth Rates	growth	growth.construction_investment_growth	건설투자증감률(실질, 계절조정 전기대비)	Construction Investment(S.A.,% Change)	200Y102	10124			Q
성장률	Growth Rates	growth	growth.exports_growth	재화의 수출 증감률(실질, 계절조정 전기대비)	Exports of Goods and Services(S.A., % Change)	200Y102	10125			Q
소득	Income	growth	growth.gdp_nominal	GDP(명목, 계절조정)	GDP(S.A.,at Current Price)	200Y107	10601			Q
소득	Income	growth	growth.gni_per_capita	1인당GNI	Per Capita GNI	200Y101	1010601			A
GDP대비 비율	Ratio of GDP	growth	growth.gross_saving_ratio	총저축률	Gross Saving Ratio	200Y102	40101			Q
GDP대비 비율	Ratio of GDP	growth	growth.gross_investment_ratio	국내총투자율	Gross Dom. Investment Ratio	200Y102	40102			Q
GDP대비 비율	Ratio of GDP	growth	growth.trade_to_gni_ratio	수출입의 대 GNI 비율	Ratio of Exports and Imports to GNI	200Y101	901			A
생산	Production Indice	production	production.all_industry	전산업생산지수	Index of all industry production	901Y033	A00			M
생산	Production Indice	production	production.manufacturing.output	제조업생산지수	Manufacturing Production Index	901Y032	I11AC	2		M
생산	Production Indice	production	production.manufacturing.shipment	제조업출하지수	Manufacturing Shipment Index	901Y032	I11AC	4		M
생산	Production Indice	production	production.manufacturing.inventory	제조업재고지수	Manufacturing Inventory Index	901Y032	I11A			M
생산	Production Indice	production	production.manufacturing.utilization	제조업가동률지수	Index of manufacturing capacity utilization rate	901Y035	I32A			M
생산	Production Indice	production	production.services	서비스업생산지수	index of Services Production	901Y038	I51A			M
생산	Production Indice	production	production.retail_wholesale	도소매업생산지수	Wholesale and Retail Production Index	901Y038	I51AB			M
소비	Consumption Indice	consumption	consumption.retail_sales	소매판매액지수	Retail Sales Index	901Y100	G0			M
소비	Consumption Indice	consumption	consumption.credit_card_spending	개인신용카드사용액	Amount of Personal Credit Cards Use	601Y003	201000	00		M
소비	Consumption Indice	consumption	consumption.motor_vehicle_sales	자동차판매액지수	Motor Vehicle Sales Index	901Y100	G11			M
투자	Invetment Indice	investment	investment.equipment	설비투자지수	Estimated Index of Equipment Investment	901Y066	I15B			M
투자	Invetment Indice	investment	investment.machinery_shipment	설비용 기계류내수출하지수	Domestic Machinery Shipment Index	901Y036	20			M
투자	Invetment Indice	investment	investment.machinery_orders	국내기계수주액	Value of Dom. Machinery Orders Received	901Y018	I35AAA			M
투자	Invetment Indice	investment	investment.construction_completed	건설기성액	Value of Construction Completed	901Y104	I48A			M
투자	Invetment Indice	investment	investment.building_permits	건축허가면적	Permits Authorized for Bldg. Construction	901Y037	I43AA	1		M
투자	Invetment Indice	investment	investment.construction_orders	건설수주액	Value of Construction Orders Received	901Y020	I42A			M
투자	Invetment Indice	investment	investment.construction_started	건축착공면적	Results of Construction Start	901Y103	1			M
